instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2total-150-m2const-bufm1-small-124-2,5,3,3,1,6,2
f2total-150-m2const-bufm1-small-125-1,5,2,6,1,4,3
f2total-150-m2const-bufm1-small-126-3,5,2,2,1,6,2
f2total-50-m2const-bufcount-big-3-1,1.375,1.25,1.25,1,1.375,1.25
f2total-50-m2const-bufcount-big-3-2,1.375,1.25,1.25,1,1.375,1.25
f2total-50-m2const-bufcount-big-3-3,1.375,1.25,1.25,1,1.375,1.25
f2total-50-m2const-bufcount-mid-3-1,1,1.11111111111111,1.11111111111111,4.75666666666667,1,6
f2total-50-m2const-bufcount-mid-3-2,2.8932735426009,3.07085201793722,2,1,2.96591928251121,6
f2total-50-m2const-bufcount-mid-3-3,3.06245461147422,1.97312999273784,1.35657225853304,1,2.45388525780683,2.89251997095134
f2total-50-m2const-bufcount-small-3-1,1,1.66666666666667,1.66666666666667,1.33333333333333,1,1.66666666666667
f2total-50-m2const-bufcount-small-3-2,1,1.66666666666667,1.66666666666667,1.33333333333333,1,1.66666666666667
f2total-50-m2const-bufcount-small-3-3,1.16666666666667,1.66666666666667,1.66666666666667,1.33333333333333,1,1.66666666666667
f2total-50-m2const-bufm1-big-120-2,3.85675486606489,3,4.85666498089722,1,2,5.42774978660307
f2total-50-m2const-bufm1-big-124-1,2.12493068756857,1.87496634217578,2.56239073159704,1,2.18745228188611,1.87492357539626
f2total-50-m2const-bufm1-big-139-3,4,3,6,1,2,5
f2total-50-m2const-bufm1-mid-120-2,3,4,6,1,2,5
f2total-50-m2const-bufm1-mid-124-1,2.83311670075146,2.66637741402405,3.83281181147971,1,3.166384504666,2
f2total-50-m2const-bufm1-mid-139-3,4,2,6,1,5,3
f2total-50-m2const-bufm1-small-120-2,5,3,2,1,6,3
f2total-50-m2const-bufm1-small-124-1,6,2,2,1,5,2
f2total-50-m2const-bufm1-small-139-3,6,2.99991212927852,4,1.00034308568385,5,1
