instance,hvns,dabc,acols-lowEva,ils-neh,dabc-tuned,hvns-tuned
f2total-50-m2const-bufcount-small-3-3-normal,1357,1357,1357,1357,1357,1357
f2total-50-m2const-bufm1-big-166-3-normal,4021,4021,4021,4021,4021,4021
f2total-50-m2const-bufm1-big-171-2-normal,4052,4052,4052,4052,4052,4052
f2total-50-m2const-bufm1-big-174-1-normal,4058,4058,4058,4058,4058,4058
f2total-50-m2const-bufm1-mid-111-1-normal,2685,2685,2685,2685,2685,2685
f2total-50-m2const-bufm1-mid-114-3-normal,2710,2710,2710,2710,2710.33333333333,2710
f2total-50-m2const-bufm1-mid-121-2-normal,2711,2711,2711,2711,2712.33333333333,2711.33333333333
f2total-50-m2const-bufm1-small-67-1-normal,1300.66666666667,1301.66666666667,1307,1291.66666666667,1313.33333333333,1300
f2total-50-m2const-bufm1-small-69-3-normal,1403.66666666667,1406,1406.33333333333,1402,1407.66666666667,1403.66666666667
f2total-50-m2const-bufm1-small-74-2-normal,1366.66666666667,1366.33333333333,1370.33333333333,1361,1369.66666666667,1366
